fid,town,town_id,sum_acres,sum_square,shape_leng,shape_area,shape_area,shape_length
34,NEWTON,207,11618.778,18.154,36766.323035,47019520.8789,86096621.8789063,49741.7600162908
35,COHASSET,65,6436.644,10.057,42159.2751702,26048184.2518,47553888.1484375,56975.1843810111
36,WOBURN,347,8283.535,12.943,27522.3462022,33522274.0438,61683136.4453125,37337.0815533815
37,FRAMINGHAM,100,16961.824,26.503,35082.75397,68642060.1933,125592783.269531,47453.3867412186
38,LYNN,163,7390.936,11.548,31048.0789035,29910094.1681,55021746.3789063,42111.5448193671
39,DEDHAM,73,6837.386,10.683,26695.826325,27669925.4457,50531741.515625,36076.5459124518
40,WAKEFIELD,305,5116.225,7.994,22293.6663599,20704636.1337,38118108.8671875,30250.8140463105
41,NORWOOD,220,6720.501,10.501,22840.5639318,27193616.7914,49566114.7421875,30836.6999899347
42,LINCOLN,157,9587.925,14.981,28930.0076812,38800943.9391,71261518.5703125,39207.8287399578
43,ARLINGTON,10,3509.872,5.485,16929.0289707,14203937.8273,26079917.7539063,22931.9531464355
44,HULL,142,1909.223,2.983,50788.3816328,7882559.5955,14412578.2226563,68659.9890008559
45,EVERETT,93,2200.438,3.438,16969.5770227,8904846.8649,16344415.5703125,22989.2882820182
46,MELROSE,178,3051.404,4.768,15101.9841616,12348565.7772,22701348.6328125,20473.990775118
47,MANCHESTER,166,4982.759,7.784,37401.210032,20164500.4665,37216068.7109375,50792.7685375868
48,BOSTON,35,32104.34973,50.15997,217870.291599,129913849.947,237768448.273438,294803.162674796
49,WATERTOWN,314,2639.446,4.125,16955.2703107,10681446.6126,19582075.5078125,22941.9258145931
50,NATICK,198,10214.836,15.961,30557.5678704,41337981.602,75582087.3046875,41331.8562793642
51,MIDDLETON,184,9271.582,14.487,30904.8619758,37520730.6941,69296793.6796875,41996.190947985
52,HINGHAM,131,14557.633,22.747,60681.8168569,58756395.8681,107197739.1875,82003.6339043522
53,WILMINGTON,342,10971.272,17.143,31733.7342423,44399123.0316,81889760.8671875,43120.5572103526
54,TOPSFIELD,298,8195.115,12.805,31884.1358333,33152923.1379,61294326.6796875,43352.4012683915
55,WEYMOUTH,336,11412.212,17.832,54997.2522376,46183620.4009,84205390.6328125,74320.2358675333
56,BROOKLINE,46,4365.923,6.822,19268.3193888,17676103.6014,32359156.6015625,26071.8529542803
57,SOMERVILLE,274,2643.574,4.13,19884.2194551,10698648.839,19626663.28125,26933.1995489865
58,BEDFORD,23,8856.486,13.838,24810.3178902,35840949.7262,65971165.296875,33664.7432202288
59,WALTHAM,308,8809.167,13.764,26261.4171269,35641539.7353,65379336.9882813,35563.3321169407
60,HOLBROOK,133,4712.41,7.363,17630.6005704,19070454.5153,34717848.359375,23792.5375144248
61,WESTON,333,11091.56,17.33,30579.5459288,44885981.6288,82264382.4296875,41409.4207154169
62,BEVERLY,30,9863.262,15.411,38638.7063498,39915208.4748,73633869.359375,52466.4921512303
63,WINCHESTER,344,4062.159,6.347,19080.5641318,16439015.8068,30215631.6328125,25855.8631417075
64,WINTHROP,346,1457.32,2.278,27337.4084838,5897573.54065,10814004.234375,37020.1434856696
65,MEDFORD,176,5406.88612,8.44821,31500.5578033,21880878.0471,40182585.828125,42691.2657478547
