fid,town,town_id,sum_acres,sum_square,shape_leng,shape_area,shape_length
91,LUNENBURG,162,17757.762,27.746,38127.2307277,71863140.0846,51824.6936813438
92,GROVELAND,116,6014.084,9.397,23990.7345678,24338169.3,32672.2945205478
93,MILLBURY,186,10524.239,16.444,32222.2769947,42590051.944,43507.3166632227
94,WAKEFIELD,305,5116.225,7.994,22293.6663599,20704636.1337,30250.8237924916
95,ROCKLAND,251,6476.447,10.119,24690.1742631,26209250.3619,33326.5480676302
96,SEEKONK,265,11932.581,18.645,36129.4140613,48289466.8644,48557.1343694128
97,FOXBOROUGH,99,13340.614,20.845,31841.3102949,53987529.5935,42912.950172004
98,NORWOOD,220,6720.501,10.501,22840.5639318,27193616.7914,30836.7104810135
99,LINCOLN,157,9587.925,14.981,28930.0076812,38800943.9391,39207.8417763921
100,EAST BRIDGEWATER,83,11225.578,17.541,28489.3911542,45428309.9861,38379.2524826499
101,LAKEVILLE,146,23116.239,36.119,47022.0802976,93548116.1046,63132.0853376701
102,AUBURN,17,10505.17,16.414,24816.9954075,42512969.9851,33513.4533199922
103,ARLINGTON,10,3509.872,5.485,16929.0289707,14203937.8273,22931.9607329379
104,ASHBY,12,15406.763,24.073,35422.4958534,62348961.1211,48186.5724775657
105,HULL,142,1909.223,2.983,50788.3816328,7882559.5955,68660.0099828035
106,LAWRENCE,149,4753.392,7.427,21162.9940985,19238173.7382,28800.6962724568
107,EVERETT,93,2200.438,3.438,16969.5770227,8904846.8649,22989.2963279023
108,STERLING,282,20264.031,31.662,39207.7044947,82051289.3869,53146.1354624277
109,GEORGETOWN,105,8415.006,13.148,24443.0413649,34054312.3303,33268.4760772352
110,CARVER,52,25422.364,39.722,47726.1906778,102880648.168,64137.9336065739
111,MELROSE,178,3051.404,4.768,15101.9841616,12348565.7772,20473.9972499423
112,MANCHESTER,166,4982.759,7.784,37401.210032,20164500.4665,50792.7862907992
113,BOSTON,35,32104.34973,50.15997,217870.291599,129913849.947,294803.259971178
114,WATERTOWN,314,2639.446,4.125,16955.2703107,10681446.6126,22941.9334752611
115,EASTON,88,18709.299,29.233,36062.1079448,75713803.5993,48586.6711886167
116,NATICK,198,10214.836,15.961,30557.5678704,41337981.602,41331.8699375113
117,BROCKTON,44,13769.724,21.516,32616.9354866,55724091.4612,43966.0694150398
118,HARVARD,125,17378.306,27.153,39222.2972849,70327484.6365,53219.5543071407
119,REHOBOTH,247,30380.21,47.47,48076.0722165,122955802.202,64586.3851284927
120,SHIRLEY,270,10175.276,15.899,35035.6528229,41168767.5163,47621.133757909
121,WESTFORD,330,20071.549,31.362,37313.4958908,81226634.0748,50721.4014451389
122,NORTH READING,213,8633.043,13.489,30483.1057807,34936710.7917,41408.314235493
123,ACTON,2,12988.988,20.295,30789.1879133,52564532.7926,41775.6308457889
124,MIDDLETON,184,9271.582,14.487,30904.8619758,37520730.6941,41996.2043528693
125,HINGHAM,131,14557.633,22.747,60681.8168569,58756395.8681,82003.6603294582
126,WILMINGTON,342,10971.272,17.143,31733.7342423,44399123.0316,43120.5716056794
127,ABINGTON,1,6521.335,10.19,24139.4131198,26390847.0697,32551.5198154343
128,TOPSFIELD,298,8195.115,12.805,31884.1358333,33152923.1379,43352.41596884
129,NORTH ATTLEBOROUGH,211,12402.569,19.379,32069.5274804,50191425.7033,43154.8906887038
130,WEYMOUTH,336,11412.212,17.832,54997.2522376,46183620.4009,74320.2591101701
131,WEST BOYLSTON,321,8872.45,13.863,30912.773965,35905571.4877,41879.2722610822
132,CHELMSFORD,56,14773.823,23.084,38973.277804,59787673.8263,52986.150137292
133,LEICESTER,151,15765.182,24.633,32321.7353498,63799533.5172,43689.917024824
134,SHREWSBURY,271,13923.977,21.756,32165.8765976,56348338.6348,43500.7935613328
135,UPTON,303,13973.232,21.833,37250.7159109,56547641.9061,50299.5321453298
136,BILLERICA,31,16842.426,26.316,39129.8127597,68158855.1548,53142.1545167155
137,ROCHESTER,250,23061.655,36.034,43501.8699672,93327184.0191,58338.6894380991
138,ANDOVER,9,20577.61,32.153,46867.690659,83274583.6225,63723.241752747
139,BROOKLINE,46,4365.923,6.822,19268.3193888,17676103.6014,26071.8618601254
140,WEST NEWBURY,324,9424.053,14.725,25490.0825089,38137768.2552,34738.5687933366
141,LITTLETON,158,11206.517,17.51,27777.2939162,45351168.6213,37705.036538382
142,SOMERVILLE,274,2643.574,4.13,19884.2194551,10698648.839,26933.2081268397
143,PEMBROKE,231,15071.89,23.55,42291.6967494,61010111.6996,57000.8066922525
144,HAVERHILL,128,22851.919,35.706,43123.4076071,92457998.4264,58763.0815981871
145,SUDBURY,288,15837.51,24.746,39739.9706711,64092081.2923,53815.1197306394
146,ROWLEY,254,11864.981,18.54,80141.68704,48015902.1953,109119.319137268
147,BOXBOROUGH,37,6659.879,10.406,21176.9210414,26951584.4099,28726.4040082481
148,HOLDEN,134,23244.931,36.32,43894.3184171,94067335.282,59447.669307189
149,METHUEN,181,14717.047,22.996,44707.1015891,59557813.6864,60900.4810607509
150,BEDFORD,23,8856.486,13.838,24810.3178902,35840949.7262,33664.7546143557
151,ASHLAND,14,8239.158,12.874,25926.5179796,33342677.447,35030.7816787052
152,HANSON,123,10069.083,15.733,30621.3853833,40748136.4878,41267.5414868295
153,MEDWAY,177,7466.683,11.667,27338.5944292,30216566.71,36881.4662786307
154,WALTHAM,308,8809.167,13.764,26261.4171269,35641539.7353,35563.3440962297
155,HOLBROOK,133,4712.41,7.363,17630.6005704,19070454.5153,23792.5453925505
156,RAYNHAM,245,13288.052,20.762,39648.2123407,53774797.2399,53332.9542172048
157,ROCKPORT,252,4490.801,7.018,36737.8919738,18173634.2351,49977.2320157338
158,WESTON,333,11091.56,17.33,30579.5459288,44885981.6288,41409.4343157394
159,LOWELL,160,9298.78,14.531,28403.6640576,37630657.8658,38618.3091263277
160,BEVERLY,30,9863.262,15.411,38638.7063498,39915208.4748,52466.5095172837
161,DUXBURY,82,15404.764,24.071,99834.1391379,62324468.3938,134510.861965306
162,GLOUCESTER,107,17088.57,26.7,159379.402958,69154959.4924,216726.929725898
163,WINCHESTER,344,4062.159,6.347,19080.5641318,16439015.8068,25855.8716868493
164,BRIDGEWATER,42,18150.291,28.358,39191.8015787,73451631.1913,52718.5422697785
165,TOWNSEND,299,21104.057,32.975,37244.9937339,85405105.5062,50666.9047719515
166,WINTHROP,346,1457.32,2.278,27337.4084838,5897573.54065,37020.1562260268
167,BOXFORD,38,15618.814,24.404,44884.8836686,63216180.2928,61069.0842296333
168,AYER,19,6082.089,9.503,25016.9070166,24613334.6526,33947.3827665549
169,HOPKINTON,139,17825.465,27.852,36926.9137349,72137074.9595,49876.8513675424
170,MERRIMAC,180,5691.938,8.894,20077.3806659,23057178.0794,27380.2969445485
171,NORTHBRIDGE,216,11552.261,18.05,30706.1476727,46750345.4956,41407.1844505347
172,NORTH ANDOVER,210,17738.929,27.716,41127.5904279,71785076.4235,55982.5456290484
173,NORTON,218,18759.888,29.312,36981.0016479,75918561.772,49746.6809127931
174,HOLLISTON,136,12193.36,19.052,33820.8309292,49344837.1329,45659.0331349075
175,GRAFTON,110,14917.941,23.309,33511.870244,60355752.9669,45268.4150305027
176,MEDFORD,176,5406.88612,8.44821,31500.5578033,21880878.0471,42691.2800422164
